has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,school_name,know_more_link,email,operational_status,school_category,school_management,school_type,school_location,address,pin_code
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.027668,N/A,"ANANDA MARGA, BHATHUBASTHI",https://kys.udiseplus.gov.in/#/schooldetail/5300372/12,ampsbhatubasti11@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Bhatu Basti , Port Blair, South Andaman",744105
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.070187,N/A,"ANANDA MARGA, CHOULDARI",https://kys.udiseplus.gov.in/#/schooldetail/5300339/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Nimbu Bagicha, chouldari, Port Blair, South Andaman",744103
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.110124,N/A,ANANDA MARGA MIDDLE SCHOOL JUNGLIGHAT,https://kys.udiseplus.gov.in/#/schooldetail/5300379/12,anandamargaschool1966@gmail.com,N/A,6-Pr. Up Pr. and Secondary Only,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Anandamarga Road, Junglighat, Port Blair South Andaman",744103
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.177154,N/A,ANANDA MARGA PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300308/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,ANANDA MARGA PRIMARY SCHOOL MANGLUTAN,744103
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.221897,N/A,ANANDA MARGA SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300352/12,anandamargaschool0212@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Ram Krishna Pur, Little Andaman",744207
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.262614,N/A,ARMY PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300320/12,apsbrichgunj@awesindia.edu.in,N/A,2-Primary with Upper Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Mil Stn HQ, Brichgunj",744103
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.303701,N/A,BEHRUL-ULOOM MODERN,https://kys.udiseplus.gov.in/#/schooldetail/5300322/12,baharululoommodernschool@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,BAHARUL ULOOM MODERN SCHOOL English Medium,744105
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.344590,N/A,CARMEL SENIOR SECONDARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300393/12,carmelportblair682@gmail.com,N/A,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Phoenix Bay,Haddo Post",744101
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.389059,N/A,CRESCENT PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300075/12,cpsandaman@gmail.com,N/A,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"WIMBERLY GUNJ PO, SOUTH ANDAMAN - 744206",744206
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.430208,N/A,DAR AL ARQAM  PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300429/12,dapsandaman111@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,STEWART GUNJ SOUTH ANDAMAN -PIN 744107,744107
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.471840,N/A,DEEPAK NURSERY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300079/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,9-NA,NA,744206
