has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,school_name,know_more_link,email,operational_status,school_category,school_management,school_type,school_location,address,pin_code,detail_school_name,source_url,extraction_timestamp,academic_year,location,class_from,class_to,class_range,year_of_establishment,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,total_teachers,male_teachers,female_teachers,extraction_status,critical_fields_extracted
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.356360,,"ANANDA MARGA, BHATHUBASTHI",https://kys.udiseplus.gov.in/#/schooldetail/5300372/12,ampsbhatubasti11@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Bhatu Basti , Port Blair, South Andaman",744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300372/12,2025-08-07T00:17:55.835254,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,18,12,6,4,4,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.398684,,"ANANDA MARGA, CHOULDARI",https://kys.udiseplus.gov.in/#/schooldetail/5300339/12,,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Nimbu Bagicha, chouldari, Port Blair, South Andaman",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300339/12,2025-08-07T00:18:02.846296,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,26,13,13,5,5,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.440981,,ANANDA MARGA MIDDLE SCHOOL JUNGLIGHAT,https://kys.udiseplus.gov.in/#/schooldetail/5300379/12,anandamargaschool1966@gmail.com,,6-Pr. Up Pr. and Secondary Only,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Anandamarga Road, Junglighat, Port Blair South Andaman",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300379/12,2025-08-07T00:18:09.701704,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,N/A,65,41,24,15,10,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.486988,,ANANDA MARGA PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300308/12,,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,ANANDA MARGA PRIMARY SCHOOL MANGLUTAN,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300308/12,2025-08-07T00:18:16.567351,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,2,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.530933,,ANANDA MARGA SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300352/12,anandamargaschool0212@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Ram Krishna Pur, Little Andaman",744207,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300352/12,2025-08-07T00:18:23.384064,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,97,50,47,10,10,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.596910,,ARMY PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300320/12,apsbrichgunj@awesindia.edu.in,,2-Primary with Upper Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Mil Stn HQ, Brichgunj",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300320/12,2025-08-07T00:18:30.642012,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,189,108,81,20,15,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.641525,,BEHRUL-ULOOM MODERN,https://kys.udiseplus.gov.in/#/schooldetail/5300322/12,baharululoommodernschool@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,BAHARUL ULOOM MODERN SCHOOL English Medium,744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300322/12,2025-08-07T00:18:37.616718,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,46,29,17,8,8,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.685849,,CARMEL SENIOR SECONDARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300393/12,carmelportblair682@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Phoenix Bay,Haddo Post",744101,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300393/12,2025-08-07T00:18:44.749765,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,1744,915,829,80,68,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.731049,,CRESCENT PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300075/12,cpsandaman@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"WIMBERLY GUNJ PO, SOUTH ANDAMAN - 744206",744206,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300075/12,2025-08-07T00:18:52.089097,N/A,1-Rural,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,678,330,348,44,39,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,MIDDLE AND NORTH ANDAMANS,4503,2025-08-07T00:16:17.775170,,DAR AL ARQAM  PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300429/12,dapsandaman111@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,STEWART GUNJ SOUTH ANDAMAN -PIN 744107,744107,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300429/12,2025-08-07T00:18:58.979453,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,38,18,20,13,13,N/A,SUCCESS,2
