has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,school_name,know_more_link,email,operational_status,school_category,school_management,school_type,school_location,address,pin_code
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:03.976936,N/A,"ANJAW HOLY CHILD SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2703600/12,N/A,N/A,1-Primary,8-Unrecognized,3-Co-educational,N/A,NA,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.008188,N/A,ANJAW SHIKSHA NIKETAN SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701798/12,anjawwshikshaniketan@rediffmail.com,N/A,1-Primary,8-Unrecognized,3-Co-educational,N/A,VILL CHENGUNG PO PS HAWAI DIST ANJAW,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.040011,N/A,ANJAW VIDYAPEETH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701644/12,N/A,N/A,2-Primary with Upper Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,ANJAW VIDYAPEETH SCHOOL KHUPA,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.072046,N/A,CALSOM SCHOOL HAYULIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701652/12,N/A,N/A,1-Primary,8-Unrecognized,3-Co-educational,N/A,"CALSOM SCHOOL, HAYULIANG",N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.100560,N/A,DAYANAND ARYA VIDYAPEETH SCHOOL KHUPA,https://kys.udiseplus.gov.in/#/schooldetail/2701643/12,N/A,N/A,1-Primary,8-Unrecognized,3-Co-educational,N/A,DAYANAND ARY VIDYAPEETH SCHOOL KHUPA,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.131613,N/A,"GOVT.HR.SEC.SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2701477/12,ghsshawai.anjaw@gmail.com,N/A,5-Up. Pr. Secondary and Higher Sec,1-Department of Education,3-Co-educational,N/A,GHSS HAWAI PO PS HAWAI DIST ANJAW 792104,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.162205,N/A,"GOVT.HR.SEC.SCHOOL,HAYULIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701651/12,maktemperme1975@gmail.com,N/A,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Department of Education,3-Co-educational,N/A,GOVT.HR.SEC.SCHOOL HAYULIANG,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.193814,N/A,"GOVT.I.V.SCHOOL,BLONG",https://kys.udiseplus.gov.in/#/schooldetail/2701705/12,puljinaishi@gmail.com,N/A,1-Primary,1-Department of Education,3-Co-educational,N/A,BLONG WALONG DIST ANJAW,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.254675,N/A,"GOVT.I.V.SCHOOL,BORFU",https://kys.udiseplus.gov.in/#/schooldetail/2701648/12,N/A,N/A,1-Primary,1-Department of Education,3-Co-educational,N/A,GOVT IV SCHOOL BORFU,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.283628,N/A,"GOVT. I.V SCHOOL, CHOWAILIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701723/12,Khupemmanyu@gmail.com,N/A,1-Primary,1-Department of Education,3-Co-educational,N/A,"GOVT. I V SCHOOL, CHOWAILIANG",N/A
