has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified,email
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:03.976936,N/A,N/A,"ANJAW HOLY CHILD SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2703600/12,Anjaw,Hawai-walong,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,9-NA,NA,NA,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.008188,N/A,N/A,ANJAW SHIKSHA NIKETAN SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701798/12,Anjaw,Hawai-walong,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,2-Urban,VILL CHENGUNG PO PS HAWAI DIST ANJAW,792104,N/A,anjawwshikshaniketan@rediffmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.040011,N/A,N/A,ANJAW VIDYAPEETH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701644/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,5-Private Unaided (Recognized),1 To 8,3-Co-educational,1-Rural,ANJAW VIDYAPEETH SCHOOL KHUPA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.072046,N/A,N/A,CALSOM SCHOOL HAYULIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701652/12,Anjaw,Hayuliang,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,1-Rural,"CALSOM SCHOOL, HAYULIANG",792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.100560,N/A,N/A,DAYANAND ARYA VIDYAPEETH SCHOOL KHUPA,https://kys.udiseplus.gov.in/#/schooldetail/2701643/12,Anjaw,Hayuliang,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,1-Rural,DAYANAND ARY VIDYAPEETH SCHOOL KHUPA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.131613,N/A,N/A,"GOVT.HR.SEC.SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2701477/12,Anjaw,Hawai-walong,2025-26,5-Up. Pr. Secondary and Higher Sec,1-Department of Education,6 To 12,3-Co-educational,2-Urban,GHSS HAWAI PO PS HAWAI DIST ANJAW 792104,792104,N/A,ghsshawai.anjaw@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.162205,N/A,N/A,"GOVT.HR.SEC.SCHOOL,HAYULIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701651/12,Anjaw,Hayuliang,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Department of Education,1 To 12,3-Co-educational,1-Rural,GOVT.HR.SEC.SCHOOL HAYULIANG,792104,N/A,maktemperme1975@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.193814,N/A,N/A,"GOVT.I.V.SCHOOL,BLONG",https://kys.udiseplus.gov.in/#/schooldetail/2701705/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,BLONG WALONG DIST ANJAW,792104,N/A,puljinaishi@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.254675,N/A,N/A,"GOVT.I.V.SCHOOL,BORFU",https://kys.udiseplus.gov.in/#/schooldetail/2701648/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT IV SCHOOL BORFU,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.283628,N/A,N/A,"GOVT. I.V SCHOOL, CHOWAILIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701723/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GOVT. I V SCHOOL, CHOWAILIANG",792104,N/A,Khupemmanyu@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.312972,N/A,N/A,"GOVT. I.V SCHOOL, KHAMBLAIGLAT",https://kys.udiseplus.gov.in/#/schooldetail/2701719/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GOVT.IV.SCHOOL,KHAMBLAIGLAT",792104,N/A,soblong@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.345576,N/A,N/A,"GOVT.I.V.SCHOOL,LATI",https://kys.udiseplus.gov.in/#/schooldetail/2701716/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,LATI HAWAI DIST ANJAW,NA,N/A,anjawgivslati1972@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.387607,N/A,N/A,"GOVT.I.V.SCHOOL,SHIRONG",https://kys.udiseplus.gov.in/#/schooldetail/2701712/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,SHIRONG HAWAI DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.423119,N/A,N/A,"GOVT. I.V SCHOOL, SIET",https://kys.udiseplus.gov.in/#/schooldetail/2701720/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,Govt I.V. School Siet,792104,N/A,edonsotawsik120@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.456556,N/A,N/A,GOVT MIDDLE SCHOOL KIBITHOO,https://kys.udiseplus.gov.in/#/schooldetail/2701695/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,VILL KIBITHOO DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.488675,N/A,N/A,GOVT.MIDDLE SCHOOL SWAMICAMP,https://kys.udiseplus.gov.in/#/schooldetail/2701646/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT.MIDDLE.SCHOOL SWAMICAMP,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.519197,N/A,N/A,GOVT.MIDDLE. SCHOOL WATONG,https://kys.udiseplus.gov.in/#/schooldetail/2701708/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,WATONG HAWAI DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.551174,N/A,N/A,"GOVT.MIDDLSE.SCHOOL,WALLA",https://kys.udiseplus.gov.in/#/schooldetail/2701709/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GMS WALLA WALONG DIST ANJAW,792104,N/A,bashaimpul@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.616162,N/A,N/A,"GOVT.MID.SCHOOL, CHAGLAGAM",https://kys.udiseplus.gov.in/#/schooldetail/2701692/12,Anjaw,Chaglagam,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT. MIDDLE SCHOOL CHAGLAGAM,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.647708,N/A,N/A,GOVT MID. SCHOOL CHAMELIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701645/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT MID SCHOOLCHAMELIANG .,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.676944,N/A,N/A,"GOVT. MID. SCHOOL,CHIPRU",https://kys.udiseplus.gov.in/#/schooldetail/2701682/12,Anjaw,Chaglagam,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT. MIDDLE SCHOOL CHIPRU,792104,N/A,talyosonemso@gmail.com
