has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified,email,detail_school_name,source_url,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:03.976936,,,"ANJAW HOLY CHILD SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2703600/12,Anjaw,Hawai-walong,2025-26,,8-Unrecognized,- To -,N/A,9-NA,,,,,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2703600/12,2025-08-20T11:44:34.334374,N/A,-,-,N/A,,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,9,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.008188,,,ANJAW SHIKSHA NIKETAN SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701798/12,Anjaw,Hawai-walong,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,2-Urban,VILL CHENGUNG PO PS HAWAI DIST ANJAW,792104.0,,anjawwshikshaniketan@rediffmail.com,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701798/12,2025-08-20T11:44:42.551921,2-Urban,1,5,2013,8-Unrecognized,8-Unrecognized,NA,NA,28,10,18,N/A,7,1,6,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.040011,,,ANJAW VIDYAPEETH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/2701644/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,5-Private Unaided (Recognized),1 To 8,3-Co-educational,1-Rural,ANJAW VIDYAPEETH SCHOOL KHUPA,792104.0,,,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701644/12,2025-08-20T11:44:50.816840,1-Rural,1,8,2015,5-Private Unaided (Recognized),5-Private Unaided (Recognized),NA,NA,279,173,106,N/A,5,2,3,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.072046,,,CALSOM SCHOOL HAYULIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701652/12,Anjaw,Hayuliang,2025-26,1-Primary,8-Unrecognized,1 To 5,3-Co-educational,1-Rural,"CALSOM SCHOOL, HAYULIANG",792104.0,,,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701652/12,2025-08-20T11:44:58.613983,1-Rural,1,5,2007,8-Unrecognized,8-Unrecognized,NA,NA,15,6,9,N/A,6,1,5,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.100560,,,DAYANAND ARYA VIDYAPEETH SCHOOL KHUPA,https://kys.udiseplus.gov.in/#/schooldetail/2701643/12,Anjaw,Hayuliang,2025-26,,8-Unrecognized,- To -,N/A,1-Rural,DAYANAND ARY VIDYAPEETH SCHOOL KHUPA,792104.0,,,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701643/12,2025-08-20T11:45:06.600004,N/A,-,-,N/A,,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,9,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.131613,,,"GOVT.HR.SEC.SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2701477/12,Anjaw,Hawai-walong,2025-26,5-Up. Pr. Secondary and Higher Sec,1-Department of Education,6 To 12,3-Co-educational,2-Urban,GHSS HAWAI PO PS HAWAI DIST ANJAW 792104,792104.0,,ghsshawai.anjaw@gmail.com,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701477/12,2025-08-20T11:45:14.413022,2-Urban,6,12,1964,1-Department of Education,1-Department of Education,1-CBSE,1-CBSE,248,121,127,N/A,13,6,7,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.162205,,,"GOVT.HR.SEC.SCHOOL,HAYULIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701651/12,Anjaw,Hayuliang,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Department of Education,1 To 12,3-Co-educational,1-Rural,GOVT.HR.SEC.SCHOOL HAYULIANG,792104.0,,maktemperme1975@gmail.com,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701651/12,2025-08-20T11:45:22.331108,1-Rural,1,12,1956,1-Department of Education,1-Department of Education,6-Both CBSE & State Board,6-Both CBSE & State Board,258,135,123,N/A,25,12,13,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.193814,,,"GOVT.I.V.SCHOOL,BLONG",https://kys.udiseplus.gov.in/#/schooldetail/2701705/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,BLONG WALONG DIST ANJAW,792104.0,,puljinaishi@gmail.com,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701705/12,2025-08-20T11:45:30.180137,1-Rural,1,5,1977,1-Department of Education,1-Department of Education,NA,NA,2,1,1,N/A,1,0,1,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.254675,,,"GOVT.I.V.SCHOOL,BORFU",https://kys.udiseplus.gov.in/#/schooldetail/2701648/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT IV SCHOOL BORFU,792104.0,,,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701648/12,2025-08-20T11:45:38.000633,1-Rural,1,5,1974,1-Department of Education,1-Department of Education,NA,NA,11,4,7,N/A,2,2,0,SUCCESS,11,2
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.283628,,,"GOVT. I.V SCHOOL, CHOWAILIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701723/12,Anjaw,Manchal,2025-26,,1-Department of Education,- To -,N/A,1-Rural,"GOVT. I V SCHOOL, CHOWAILIANG",792104.0,,Khupemmanyu@gmail.com,School Details,https://kys.udiseplus.gov.in/#/schooldetail/2701723/12,2025-08-20T11:45:45.875043,N/A,-,-,N/A,,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,9,2
