has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,source_url,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:15.903008,,,"2 Primary School (Boys), R.K. Rangwala, Karol Bagh, Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1603176/12,Central,Doe Zone-28,2025-26,,0-Not Available,- To -,N/A,9-NA,,,https://kys.udiseplus.gov.in/#/schooldetail/1603176/12,2025-08-10T12:59:03.390215,N/A,-,-,N/A,,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,9,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:15.934350,,,"2 Primary School (Co-ed), Ajmal Khan Road, Karol Bagh New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1603172/12,Central,Doe Zone-28,2025-26,,0-Not Available,- To -,N/A,9-NA,,,https://kys.udiseplus.gov.in/#/schooldetail/1603172/12,2025-08-10T12:59:11.946711,N/A,-,-,N/A,,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,9,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:15.969321,,,"Akalibaba Phoolasingh Sr. Sec. School, Rajinder Nagar, New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1603027/12,Central,Doe Zone-28,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,6-Other State Govt. Managed,1 To 12,3-Co-educational,2-Urban,"Akalibaba Phoolasingh Sr. Sec. School,Rajinder Nagar, New Delhi",110060,https://kys.udiseplus.gov.in/#/schooldetail/1603027/12,2025-08-10T12:59:20.053188,2-Urban,1,12,1963,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,212,177,35,N/A,19,6,13,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.007018,,,"Andhra Edn. Society Sr. Sec. School, 1 DDU Marg (Rouse Avenue) New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1602162/12,Central,Doe Zone-27,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,6-Other State Govt. Managed,1 To 12,3-Co-educational,2-Urban,"Andhra Edn. Society Sr. Sec. School,1 DDU Marg (Rouse Avenue) New Delhi",110002,https://kys.udiseplus.gov.in/#/schooldetail/1602162/12,2025-08-10T12:59:27.810927,2-Urban,1,12,1948,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,1699,945,754,N/A,44,12,32,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.057416,,,"Andhra Education Society Sr. Sec. School, Prasad Nagar, New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1603011/12,Central,Doe Zone-28,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,6-Other State Govt. Managed,1 To 12,3-Co-educational,2-Urban,"Andhra Education Society Sr. Sec. School,Prasad Nagar, New Delhi",110005,https://kys.udiseplus.gov.in/#/schooldetail/1603011/12,2025-08-10T12:59:35.651439,2-Urban,1,12,1957,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,943,568,375,N/A,22,4,18,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.113812,,,"Anglo Arabic Model School, Ajmeri Gate,Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1602157/12,Central,Doe Zone-27,2025-26,6-Pr. Up Pr. and Secondary Only,9-Private Unaided (Recognized),1 To 10,3-Co-educational,2-Urban,"Anglo Arabic Model School,Ajmeri Gate,Delhi",110006,https://kys.udiseplus.gov.in/#/schooldetail/1602157/12,2025-08-10T12:59:43.470598,2-Urban,1,10,1996,5-Private Unaided (Recognized),9-DoE_UnAided,1-CBSE,NA,753,632,121,N/A,29,7,22,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.186422,,,"Anglo Arabic Sr, Sec. School, Ajmeri Gate, Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1605156/12,Central,Doe Zone-27,2025-26,5-Up. Pr. Secondary and Higher Sec,6-Other State Govt. Managed,6 To 12,3-Co-educational,2-Urban,"Anglo Arabic Sr, Sec. School,Ajmeri Gate, Delhi",110006,https://kys.udiseplus.gov.in/#/schooldetail/1605156/12,2025-08-10T12:59:51.438105,2-Urban,6,12,1692,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,1402,1295,107,N/A,41,33,8,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.253192,,,"Anglo Sanskrit Victoria Jubilee Primary School, 2656, Ballimaran, Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1600357/12,Central,Doe Zone-27,2025-26,1-Primary,7-Other State Govt. Managed,1 To 5,1-Boys,2-Urban,"A.S.V.J. Primary School,2656 Ballimaran, Delhi",110006,https://kys.udiseplus.gov.in/#/schooldetail/1600357/12,2025-08-10T12:59:59.278137,2-Urban,1,5,1869,4-Other State Govt. Managed,7-MCD_Aided,NA,NA,176,176,0,N/A,6,1,5,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.298302,,,"Anglo Sanskrit V. J. Sr. Sec. School, Darya Ganj, New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1602161/12,Central,Doe Zone-27,2025-26,5-Up. Pr. Secondary and Higher Sec,6-Other State Govt. Managed,6 To 12,1-Boys,2-Urban,"Anglo Sanskrit V. J. Sr. Sec. School,Darya Ganj, New Delhi",110002,https://kys.udiseplus.gov.in/#/schooldetail/1602161/12,2025-08-10T13:00:07.032221,2-Urban,6,12,1869,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,751,751,0,N/A,25,16,9,SUCCESS,11,2
TRUE,TRUE,DELHI,107,CENTRAL,1612,2025-08-10T12:44:16.346093,,,"Arya Girls Sr. Sec. School, Karol Bagh, Reghar Pura, New Delhi",https://kys.udiseplus.gov.in/#/schooldetail/1603012/12,Central,Doe Zone-28,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,6-Other State Govt. Managed,1 To 12,2-Girls,2-Urban,"Arya Girls Sr. Sec. School,Karol Bagh, Reghar Pura, New Delhi",110005,https://kys.udiseplus.gov.in/#/schooldetail/1603012/12,2025-08-10T13:00:14.844880,2-Urban,1,12,1929,4-Other State Govt. Managed,6-Aided,1-CBSE,1-CBSE,356,0,356,N/A,15,0,15,SUCCESS,11,2
