has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified,email
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.556582,N/A,N/A,AASTHA ANAND NIKETAN SCHOOL FOR SPECIAL CHIDREN,https://kys.udiseplus.gov.in/#/schooldetail/4800722/12,North Goa,Bardez,2025-26,2-Primary with Upper Primary,4-Government Aided,1 To 8,3-Co-educational,2-Urban,"Near Urban Health Centre, Ghateshwarnagar, Khorlim, Mapusa -Goa",403507,N/A,anandniketangoa@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.639120,N/A,N/A,ALORNA PANCHYAKROSHI HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800067/12,North Goa,Pernem,2025-26,6-Pr. Up Pr. and Secondary Only,4-Government Aided,1 To 10,3-Co-educational,1-Rural,At Alorna Post Ibrampur Via Assonara Pernem Goa,403503,N/A,alorna198@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.710393,N/A,N/A,"ALORNA PANCHYAKROSHI HIGH SCHOOL, ALORNA",https://kys.udiseplus.gov.in/#/schooldetail/4800071/12,North Goa,Pernem,2025-26,4-Upper Primary only,5-Private Unaided (Recognized),5 To 7,3-Co-educational,9-NA,NA,403503,N/A,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.809244,N/A,N/A,ALORNA PANCHYAKROSHI PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800069/12,North Goa,Pernem,2025-26,1-Primary,5-Private Unaided (Recognized),1 To 4,3-Co-educational,9-NA,NA,403503,N/A,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.890277,N/A,N/A,ANJUMAN NURUL ISLAM HIGH SC,https://kys.udiseplus.gov.in/#/schooldetail/4801533/12,North Goa,Tiswadi,2025-26,7-Upper Pr. and Secondary,4-Government Aided,5 To 10,3-Co-educational,1-Rural,Plot No. 6 Cujira Integrated School Complex,403001,N/A,anjumanpanjim@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:43.958530,N/A,N/A,ANJUMAN NURUL ISLAM PRIMARY URDU,https://kys.udiseplus.gov.in/#/schooldetail/4800850/12,North Goa,Tiswadi,2025-26,1-Primary,4-Government Aided,1 To 4,3-Co-educational,1-Rural,Plot No. 6 Cujira Integrated School Complex,403001,N/A,anjumanpanjim@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.014935,N/A,N/A,ASSAGAO UNION HS,https://kys.udiseplus.gov.in/#/schooldetail/4800148/12,North Goa,Bardez,2025-26,6-Pr. Up Pr. and Secondary Only,4-Government Aided,1 To 10,3-Co-educational,1-Rural,Assagao Mapusa Bardez Goa,403507,N/A,auhs_assagao@yahoo.co.in
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.097875,N/A,N/A,ATMAVISHVAS SCHOOL FOR SPECIAL CHILDREN,https://kys.udiseplus.gov.in/#/schooldetail/4800049/12,North Goa,Pernem,2025-26,1-Primary,4-Government Aided,1 To 4,3-Co-educational,1-Rural,"Murmuse Tuem, Pernem - Goa",403512,N/A,atmavishvas.org@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.154268,N/A,N/A,AUXILIUM HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800917/12,North Goa,Tiswadi,2025-26,6-Pr. Up Pr. and Secondary Only,4-Government Aided,1 To 10,3-Co-educational,1-Rural,"Kerant, Near Post Office, Caranzalem - Goa",403002,N/A,auxilium1970@gamil.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.210235,N/A,N/A,AUXILIUM PRIMARY SCHOOL CARONA,https://kys.udiseplus.gov.in/#/schooldetail/4800770/12,North Goa,Bardez,2025-26,1-Primary,4-Government Aided,1 To 4,3-Co-educational,1-Rural,"Auxilium Primary School,Deverem,Carona , Bardez-Goa.",403523,N/A,auxiliumcarona@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.265692,N/A,N/A,AZMANE HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800905/12,North Goa,Tiswadi,2025-26,7-Upper Pr. and Secondary,4-Government Aided,5 To 10,3-Co-educational,1-Rural,"Donde Bhat, Neura, Tiswadi - Goa",403104,N/A,azmanehighschool@rediffmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.326081,N/A,N/A,BABYLAND PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800130/12,North Goa,Bardez,2025-26,1-Primary,5-Private Unaided (Recognized),1 To 4,3-Co-educational,1-Rural,CAMOTIM VADDO CANDOLIM BARDEZ GOA,403507,N/A,babylandschoolcandolim@gmail.com
True,True,GOA,130,NORTH GOA,4001,2025-08-20T15:52:44.392810,N/A,N/A,BAL BHARATI VIDYAMANDIR,https://kys.udiseplus.gov.in/#/schooldetail/4801542/12,North Goa,Tiswadi,2025-26,6-Pr. Up Pr. and Secondary Only,4-Government Aided,1 To 10,3-Co-educational,2-Urban,"Bal Bharati Vidyamandir ,Raibandar-Goa",403006,N/A,bbvm1962@rediffmail.com
