has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,school_name,know_more_link,email,operational_status,school_category,school_management,school_type,school_location,address,pin_code
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:33.995678,N/A,AASTHA ANAND NIKETAN SCHOOL FOR SPECIAL CHIDREN,https://kys.udiseplus.gov.in/#/schooldetail/4800722/12,anandniketangoa@gmail.com,N/A,2-Primary with Upper Primary,4-Government Aided,3-Co-educational,N/A,"Near Urban Health Centre, Ghateshwarnagar, Khorlim, Mapusa -Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.043592,N/A,ALORNA PANCHYAKROSHI HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800067/12,alorna198@gmail.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,At Alorna Post Ibrampur Via Assonara Pernem Goa,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.094858,N/A,"ALORNA PANCHYAKROSHI HIGH SCHOOL, ALORNA",https://kys.udiseplus.gov.in/#/schooldetail/4800071/12,N/A,N/A,4-Upper Primary only,5-Private Unaided (Recognized),3-Co-educational,N/A,NA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.145745,N/A,ALORNA PANCHYAKROSHI PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800069/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,NA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.220717,N/A,ANJUMAN NURUL ISLAM HIGH SC,https://kys.udiseplus.gov.in/#/schooldetail/4801533/12,anjumanpanjim@gmail.com,N/A,7-Upper Pr. and Secondary,4-Government Aided,3-Co-educational,N/A,Plot No. 6 Cujira Integrated School Complex,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.274032,N/A,ANJUMAN NURUL ISLAM PRIMARY URDU,https://kys.udiseplus.gov.in/#/schooldetail/4800850/12,anjumanpanjim@gmail.com,N/A,1-Primary,4-Government Aided,3-Co-educational,N/A,Plot No. 6 Cujira Integrated School Complex,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.325468,N/A,ASSAGAO UNION HS,https://kys.udiseplus.gov.in/#/schooldetail/4800148/12,auhs_assagao@yahoo.co.in,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,Assagao Mapusa Bardez Goa,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.378304,N/A,ATMAVISHVAS SCHOOL FOR SPECIAL CHILDREN,https://kys.udiseplus.gov.in/#/schooldetail/4800049/12,atmavishvas.org@gmail.com,N/A,1-Primary,4-Government Aided,3-Co-educational,N/A,"Murmuse Tuem, Pernem - Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.432762,N/A,AUXILIUM HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800917/12,auxilium1970@gamil.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,"Kerant, Near Post Office, Caranzalem - Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.486977,N/A,AUXILIUM PRIMARY SCHOOL CARONA,https://kys.udiseplus.gov.in/#/schooldetail/4800770/12,auxiliumcarona@gmail.com,N/A,1-Primary,4-Government Aided,3-Co-educational,N/A,"Auxilium Primary School,Deverem,Carona , Bardez-Goa.",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.540348,N/A,AZMANE HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800905/12,azmanehighschool@rediffmail.com,N/A,7-Upper Pr. and Secondary,4-Government Aided,3-Co-educational,N/A,"Donde Bhat, Neura, Tiswadi - Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.592013,N/A,BABYLAND PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800130/12,babylandschoolcandolim@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,CAMOTIM VADDO CANDOLIM BARDEZ GOA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.643752,N/A,BAL BHARATI VIDYAMANDIR,https://kys.udiseplus.gov.in/#/schooldetail/4801542/12,bbvm1962@rediffmail.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,"Bal Bharati Vidyamandir ,Raibandar-Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.695654,N/A,BAL BHAVAN PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800857/12,balbhavanschoolcampal@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,"OPPOSITE PARADE GROUND, CAMPAL PANAJI - GOA - 403001",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.748209,N/A,BHARATI BANDODKAR PS VELGUEM,https://kys.udiseplus.gov.in/#/schooldetail/4800364/12,N/A,N/A,1-Primary,4-Government Aided,3-Co-educational,N/A,"Bharati Bandodkar PS, Velguem, Bicholim Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.799604,N/A,BHUMIKA ENGLISH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800028/12,bhumikaenglish@yahoo.in,N/A,4-Upper Primary only,4-Government Aided,3-Co-educational,N/A,"Bhomwada , Palye -Pedne- Goa.",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.877245,N/A,BIC.  ROTARY  CHARITABLE TRUST'S ENG MED PRY SCH,https://kys.udiseplus.gov.in/#/schooldetail/4800826/12,bicholimrotary93@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,"Bic. Rotary Charitable Trusts , Vasudev Nagar, Bicholim Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.929253,N/A,BLOOM BUDS PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800190/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,NA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:34.989025,N/A,"BLOOMING BUDS PRY SCHOOL, CALANGUTE",https://kys.udiseplus.gov.in/#/schooldetail/4800117/12,aparnappalyekar@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,"G,2,3,4, Vivenda, Naika vaddo. Calangute",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.042737,N/A,BLOOMING DALE PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800723/12,bloomingdaleprimaryschool@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,Dhuler Mapusa -Bardez,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.097740,N/A,CHORAO EDUCATIONAL SOCIETY ENG PRI,https://kys.udiseplus.gov.in/#/schooldetail/4800878/12,N/A,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,NA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.149721,N/A,CHUBBY CHEEKS PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800798/12,chubbycheeksprimaryschool@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,"Green Valley, Alto Porvorim Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.199615,N/A,CHUBBY CHEEKS SPRING VALLEY HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800327/12,chubbycheeksspring@gmail.com,N/A,7-Upper Pr. and Secondary,4-Government Aided,3-Co-educational,N/A,"Green valley, pilerne-porvorim, Bardez -Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.250269,N/A,"CORNER STONE HIGH SCHOOL, KARASWADA",https://kys.udiseplus.gov.in/#/schooldetail/4800721/12,johnnydias@yahoo.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,Karaswada Bardez Goa,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.299351,N/A,DATTARAM MANTRAVADI MEM H SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800726/12,dmmhighschool@gmail.com,N/A,7-Upper Pr. and Secondary,4-Government Aided,3-Co-educational,N/A,opp. uco bank mapusa,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.349256,N/A,DATTARAM MANTRAVADI MEMO PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800752/12,manguesh1947@gmail.com,N/A,1-Primary,5-Private Unaided (Recognized),3-Co-educational,N/A,ANSABHAT MAPUSA BARDEZ GOA,N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.396809,N/A,DAYANAND BANDODKAR MEMORIAL HS,https://kys.udiseplus.gov.in/#/schooldetail/4800194/12,dbmhsv01.42@gmail.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,"Tuant Wado, Reis Magos, Bardez, Goa.",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.444791,N/A,DAYANAND HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800875/12,dayanand.highschool@rediffmail.com,N/A,6-Pr. Up Pr. and Secondary Only,4-Government Aided,3-Co-educational,N/A,"Bocta Wada, Chodan, Tiswadi North Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.518937,N/A,"DCT'S VASANTRAO DEMPO H.S.S. OF ARTS, SCIENCE AND COMMERCE",https://kys.udiseplus.gov.in/#/schooldetail/4800900/12,dctvdhss@gmail.com,N/A,11-Higher Secondary only/Jr. College,4-Government Aided,3-Co-educational,N/A,"13 - Santa Cruz, Cujira",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.565842,N/A,DEMPO HIGHER SECONDARY SCHOOL OF SCIENCE,https://kys.udiseplus.gov.in/#/schooldetail/4800924/12,dhssst2012@gmail.com,N/A,11-Higher Secondary only/Jr. College,5-Private Unaided (Recognized),3-Co-educational,N/A,"OLD HIGHER SECONDARY SCHOOL COMPLEX, MIRAMAR",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.613870,N/A,"DIOGO VAZ HIGHER SECONDARY SCHOOL, HOUSING BOARD, COLVALE, BARDEZ - GOA",https://kys.udiseplus.gov.in/#/schooldetail/4801569/12,diogovazhss@gmail.com,N/A,11-Higher Secondary only/Jr. College,4-Government Aided,3-Co-educational,N/A,"Housing Board, Colvale, Bardez-Goa",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.660757,N/A,DISHA SCHOOL FOR SPECIAL CHILDREN,https://kys.udiseplus.gov.in/#/schooldetail/4801537/12,disha.sare.ansh@gmail.com,N/A,1-Primary,4-Government Aided,3-Co-educational,N/A,"BEHIND OLD DIRECTORATE OF EDUCATION,PANAJI - GOA",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.712246,N/A,DIVINE MERCY ENGLISH MEDIUM EDGAR F. BRAGANZA MEMORIAL SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/4800725/12,divinemercy777@gmail.com,N/A,6-Pr. Up Pr. and Secondary Only,5-Private Unaided (Recognized),3-Co-educational,N/A,"GAUNSAVADDO, MAPUSA, BARDEZ, GOA",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.759568,N/A,DM'S PVS SAROJINI MADHUSUDAN KUSHE HIGHER SECONDARY SCH,https://kys.udiseplus.gov.in/#/schooldetail/4800773/12,kushehss2012@gmail.com,N/A,11-Higher Secondary only/Jr. College,4-Government Aided,3-Co-educational,N/A,"PVS KUSHE NAGAR , ASSAGAO",N/A
True,True,GOA,130,NORTH GOA,4001,2025-08-20T16:10:35.806674,N/A,DNYANJYOTI HS,https://kys.udiseplus.gov.in/#/schooldetail/4800228/12,dnyanjyotihighschool@gmail.com,N/A,7-Upper Pr. and Secondary,4-Government Aided,3-Co-educational,N/A,Karapur Sankhali Goa 403505,N/A
