has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.715672,N/A,N/A,BALGONA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3472180/11,Purba Bardhaman,Bhatar,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,BALGONA,713520,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.747849,N/A,N/A,BALGONA HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3423689/11,Purba Bardhaman,Burdwan-ii,2024-25,7-Upper Pr. and Secondary,15-Govt. Sponsered,5 To 10,3-Co-educational,1-Rural,"BALGONA , PURBA BARDHAMAN",713407,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.780381,N/A,N/A,BALGONA J.P. SSK,https://kys.udiseplus.gov.in/#/schooldetail/3423570/11,Purba Bardhaman,Bhatar,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,BALGONA CHATI,713520,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.811809,N/A,N/A,BALGONA RAIL STATION F.P.SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3423557/11,Purba Bardhaman,Bhatar,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,BALGONA,713125,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.843670,N/A,N/A,BALGONA SARADAMONI BALIKA VIDYLAYA,https://kys.udiseplus.gov.in/#/schooldetail/3472181/11,Purba Bardhaman,Bhatar,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,2-Girls,1-Rural,BALGONA TD,713520,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.875997,N/A,N/A,BALGONA SISHU MANGALAM  VIDYALAYA,https://kys.udiseplus.gov.in/#/schooldetail/3423562/11,Purba Bardhaman,Bhatar,2024-25,1-Primary,8-Un-Recognised,1 To 4,3-Co-educational,1-Rural,BALGONA,713125,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.916638,N/A,N/A,BALIA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496850/11,Purba Bardhaman,Memari-ii,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"KALIBELE, MEMARI, PURBA BARDHAMAN",713146,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.949210,N/A,N/A,BALIA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3472543/11,Purba Bardhaman,Kalna-ii,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"BALIA, KALNA, PURBA BARDHAMAN",713122,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:14.982043,N/A,N/A,BALIARA MSK,https://kys.udiseplus.gov.in/#/schooldetail/3423656/11,Purba Bardhaman,Burdwan-ii,2024-25,4-Upper Primary only,12-SSKs & MSks,5 To 8,3-Co-educational,1-Rural,baliara,713104,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:15.013824,N/A,N/A,BALIARPUR  F.P.SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3497162/11,Purba Bardhaman,Raina-i,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,BALIARPUR GOLGRAM RAINA PURBA BARDHAMAN,713424,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:05:15.050770,N/A,N/A,BALIDANGA COLLONEY SSK,https://kys.udiseplus.gov.in/#/schooldetail/3448647/11,Purba Bardhaman,Mongalkote,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,BALIDANGA COLLONEY PURBA BARDHAMAN,713128,N/A
