has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,email,detail_school_name,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.508078,,,ABACUS INTERNATIONAL SCHOOL FOR CHILD DEVELOPMENT,https://kys.udiseplus.gov.in/#/schooldetail/3495037/11,Alipurduar,Falakata Municipality,N/A,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,2-Urban,SUBHASH PALLY,735211,,School_ID_3495037,2025-08-26T15:56:06.028470,1-Rural,1,4,2011,5-Private Unaided (Recognized),5-Private Unaided,NA,NA,87,40,47,N/A,6,1,5,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.574142,,,ABDUL AZIZ JR HIGH MADRASAH,https://kys.udiseplus.gov.in/#/schooldetail/3494883/11,Alipurduar,Alipurduar-i,N/A,4-Upper Primary only,97-Madarsa Aided (Recognized),5 To 8,3-Co-educational,1-Rural,pradhan para,736204,,School_ID_3494883,2025-08-26T15:56:48.792581,1-Rural,5,8,1700,97-Madrasa Private Unaided (Recognized),97-Madarsa Recognized,NA,NA,91,61,30,N/A,8,8,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.633624,,,ABHINAV SMART ERA PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3401211/11,Alipurduar,Alipurduar Municipality,N/A,,5-Private Unaided(Recognized),- To -,N/A,2-Urban,ALIPURDUAR,,,School_ID_3401211,2025-08-26T15:57:17.799526,N/A,-,-,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,7,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.766459,,,ACHIRUDDIN SSK,https://kys.udiseplus.gov.in/#/schooldetail/3446662/11,Alipurduar,Falakata,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,SHIBNATHPUR ALIPUR DUAR,735220,,School_ID_3446662,2025-08-26T15:58:56.573836,1-Rural,1,4,2000,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,114,60,54,N/A,4,1,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.852039,,,ADARSHA BANGSHIDHARPUR SSK,https://kys.udiseplus.gov.in/#/schooldetail/3422346/11,Alipurduar,Falakata,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"BANGSHI DHARPUR . KALIPUR , ALIPURDUAR",735211,,School_ID_3422346,2025-08-26T15:59:48.420106,1-Rural,1,4,2001,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,42,23,19,N/A,3,0,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.885909,,,ADARSHA BARODOBA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3422324/11,Alipurduar,Falakata Municipality,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,2-Urban,"BARODOBA , FALAKATA , ALIPURDUAR",735211,,School_ID_3422324,2025-08-26T16:00:06.393023,1-Rural,1,4,2000,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,23,13,10,N/A,2,0,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:44.924318,,,ADARSHA HINDI PRY,https://kys.udiseplus.gov.in/#/schooldetail/3446805/11,Alipurduar,Kumargram,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,KUMARGRAM TG,736205,,School_ID_3446805,2025-08-26T16:00:22.693003,1-Rural,1,5,1978,1-Department of Education,1-Department of Education,NA,NA,266,128,138,N/A,8,5,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.061384,,,ADARSHA  SHISHU BIDYALAYA ( P V T),https://kys.udiseplus.gov.in/#/schooldetail/3470831/11,Alipurduar,Alipurduar-i,N/A,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,"CHAPATALI,BANCHUKAMARI",736122,,School_ID_3470831,2025-08-26T16:00:37.675485,1-Rural,1,4,2005,5-Private Unaided (Recognized),5-Private Unaided,NA,NA,11,6,5,N/A,2,2,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.094427,,,ADARSHA SISHU NIKETAN(PVT),https://kys.udiseplus.gov.in/#/schooldetail/3495256/11,Alipurduar,Madarihat,N/A,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,"SISHUBARIHAT,GOPALBAGAN,ALIPURDUAR,735213(WB)",735213,,School_ID_3495256,2025-08-26T16:00:56.178056,1-Rural,1,4,2016,5-Private Unaided (Recognized),5-Private Unaided,NA,NA,35,21,14,N/A,8,2,6,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.127368,,,ADARSHA SISHU TIRTHA (PVT),https://kys.udiseplus.gov.in/#/schooldetail/3470850/11,Alipurduar,Alipurduar-i,N/A,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,SALKUMARHAT,736204,,School_ID_3470850,2025-08-26T16:01:14.216254,1-Rural,1,4,2000,5-Private Unaided (Recognized),5-Private Unaided,NA,NA,66,34,32,N/A,6,3,3,SUCCESS,9,2
